Country,Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2022/2021,2022/5-year average,2012-2022
EU,,2 730,2 720,2 768,2 812,2 790,2 685,2 540,2 322,2 279,2 316,2 169,2 100,2 126,1 767,1 713,1 424,1 494,1 493,1 531,1 534,1 461,1 516,1 330,1 412,1 645,1 621,1 533,1 472,1 494,1 430,-4.3,-7.7,0.0
Belgium,BE, 99, 95, 99, 98, 96, 94, 101,91 e,96 e,96 e,91 e,88 e,86 e,83 e,83 e,64 e, 63,59 e, 62, 61, 60, 59, 52, 56, 62, 63, 58, 57, 55, 53,-3.1,-9.4,10.5
Bulgaria,BG, 11, 8, 9, 8, 5, 4, 3, 2, 1, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,,
Czechia,CZ, 107, 91, 94, 104, 92, 81, 59, 61, 78, 78, 77, 71, 66, 61, 54, 50, 53, 56, 58, 61, 62, 63, 58, 61, 66, 65, 59, 60, 61, 58,-4.9,-5.9,0.7
Denmark,DK, 66, 66, 68, 70, 69, 66, 63, 59, 56, 58, 50, 49, 47, 41, 39, 36, 38, 39, 40, 41, 38, 38, 36, 33, 34, 34, 29, 33, 33, 33,-0.3,-1.2,-1.6
Germany ,DE, 522, 500, 513, 516, 504, 503, 489, 452, 448, 459, 446, 441, 420, 358, 403, 369, 384, 364, 398, 402, 357, 373, 313, 335, 407, 414, 409, 386, 391, 396,1.4,-1.4,0.4
Estonia,EE, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,,
Ireland,IE, 32, 35, 35, 32, 32, 33, 34, 32, 31, 31, 32, 31, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,,
Greece,EL, 48, 42, 42, 39, 47, 41, 42, 50, 43, 41, 39, 33, 42, 27, 14, 14, 14, 17, 6, 8, 6, 8, 5, 5, 7, 1, 2, 1, 1, 0,-84.9,-85.3,-19.3
Spain,ES, 180, 183, 173, 157, 158, 150, 137, 125, 107, 114, 100, 103, 102, 86, 68, 52, 50, 43, 45, 39, 32, 38, 38, 33, 37, 35, 30, 27, 30, 25,-16.2,-21.7,-4.6
France,FR, 439, 434, 455, 456, 458, 451, 436, 410, 429, 438, 400, 385, 379, 379, 394, 349, 373, 384, 391, 383, 394, 407, 385, 405, 486, 486, 447, 421, 402, 402,0.0,-10.8,1.1
Croatia,HR,15 e,16 e,19 e,21 e,23 e,29 e,28 e, 21, 24, 25, 27, 27, 29, 32, 34, 22, 23, 24, 22, 24, 20, 22, 14, 15, 20, 14, 12, 11, 10, 9,-11.0,-26.1,-7.3
Italy,IT, 281, 282, 284, 250, 297, 284, 284, 249, 223, 246, 214, 186, 253, 91, 86, 62, 61, 63, 62, 46, 41, 52, 38, 32, 38, 34, 30, 25, 30, 28,-8.3,-12.2,-7.2
Cyprus,CY, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,,
Latvia,LV, 12, 12, 10, 10, 11, 16, 16, 13, 14, 16, 14, 14, 14, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,,
Lithuania,LT, 35, 27, 24, 31, 35, 30, 31, 28, 27, 29, 26, 23, 21, 19, 17, 9, 15, 15, 18, 19, 18, 17, 12, 15, 17, 16, 14, 14, 16, 12,-25.3,-22.1,-1.0
Luxembourg,LU, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,,
Hungary,HU, 95, 105, 124, 118, 98, 80, 66, 58, 66, 55, 52, 62, 62, 47, 41, 10, 14, 14, 15, 19, 19, 15, 16, 16, 19, 16, 14, 13, 12, 10,-18.7,-31.0,-0.9
Malta,MT, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,,
Netherlands,NL, 117, 115, 116, 117, 114, 113, 120, 111, 109, 109, 103, 98, 91, 82, 82, 72, 73, 71, 73, 73, 73, 75, 58, 71, 85, 85, 79, 81, 81, 82,1.7,-0.6,1.1
Austria,AT, 53, 52, 52, 53, 52, 50, 47, 43, 45, 45, 43, 45, 44, 39, 42, 43, 44, 45, 47, 49, 51, 51, 45, 44, 43, 31, 28, 26, 38, 34,-10.2,4.8,-3.7
Poland,PL, 399, 401, 385, 453, 419, 400, 372, 333, 317, 303, 286, 297, 286, 262, 247, 188, 200, 206, 204, 212, 194, 198, 180, 203, 232, 239, 241, 231, 250, 221,-11.7,-6.8,1.5
Portugal,PT, 1, 1, 1, 1, 4, 4, 8, 8, 5, 9, 7, 8, 9, 4, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,,,
Romania,RO, 97, 130, 133, 136, 129, 118, 66, 48, 39, 42, 45, 21, 25, 40, 29, 20, 21, 22, 19, 27, 28, 31, 27, 25, 28, 26, 23, 24, 22, 9,-60.9,-64.6,0.7
Slovenia,SI, 4, 5, 6, 6, 6, 8, 11, 8, 5, 4, 5, 5, 5, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-38.5,0.0,
Slovakia,SK, 33, 32, 34, 42, 48, 38, 35, 32, 31, 30, 32, 35, 33, 28, 19, 11, 16, 18, 18, 20, 20, 22, 22, 21, 22, 22, 22, 21, 22, 19,-12.5,-12.1,2.2
Finland,FI, 33, 34, 35, 35, 35, 33, 35, 32, 31, 31, 29, 31, 31, 24, 16, 14, 15, 15, 14, 12, 12, 14, 12, 12, 12, 10, 11, 11, 11, 9,-19.3,-16.6,-3.0
Sweden,SE, 52, 53, 58, 59, 60, 59, 60, 56, 55, 55, 50, 48, 49, 44, 41, 37, 40, 38, 40, 39, 36, 34, 19, 31, 31, 31, 27, 30, 29, 29,2.1,-1.3,-2.8
